zybook_identifier,chapter_number,chapter_title,section_number,section_title,classification,target_week_topic,reason,prerequisite_or_dependency
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.3,2.3 Best practices and common errors in proofs,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.4,2.4 Writing direct proofs,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.5,2.5 Proof by contrapositive,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.6,2.6 Proof by contradiction,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,2,2. Proofs,2.7,2.7 Proof by cases,KEEP,"W3 Logic, proof, and sequences","Required proof practice; students must define terms, choose a method, and check validity.",Logic and precise definitions.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.1,3.1 Sets and subsets,KEEP,"W3 Logic, proof, and sequences","Required discrete representations supporting functions, counting, relations, and proof.",Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.2,3.2 Sets of sets,OPTIONAL,"W3 Logic, proof, and sequences",Useful notation or identity practice; use selectively after the core representation is secure.,Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.3,3.3 Union and intersection,KEEP,"W3 Logic, proof, and sequences","Required discrete representations supporting functions, counting, relations, and proof.",Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.4,3.4 More set operations,KEEP,"W3 Logic, proof, and sequences","Required discrete representations supporting functions, counting, relations, and proof.",Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.5,3.5 Set identities,OPTIONAL,"W3 Logic, proof, and sequences",Useful notation or identity practice; use selectively after the core representation is secure.,Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.6,3.6 Cartesian products,KEEP,"W3 Logic, proof, and sequences","Required discrete representations supporting functions, counting, relations, and proof.",Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,3,3. Sets,3.7,3.7 Partitions,KEEP,"W3 Logic, proof, and sequences","Required discrete representations supporting functions, counting, relations, and proof.",Logic notation; supports functions and counting.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.1,4.1 Definition of functions,KEEP,W4 Functions and matrices,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.2,4.2 Floor and ceiling functions,OPTIONAL,W4 Functions and matrices,Useful technical extension; not required for the planned applied-function treatment.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.3,4.3 Properties of functions,KEEP,W4 Functions and matrices,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.4,4.4 The inverse of a function,OPTIONAL,W4 Functions and matrices,Useful technical extension; not required for the planned applied-function treatment.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.5,4.5 Composition of functions,KEEP,W4 Functions and matrices,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.6,4.6 Logarithms and exponents,UNUSED,,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.7,4.7 Infinite sets,UNUSED,,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,4,4. Functions,4.8,4.8 Uncountable Sets,UNUSED,,Required mapping concepts for discrete models and composition.,Sets and basic algebra; matrices remain instructor-scaffolded.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.1,5.1 An introduction to Boolean algebra,KEEP,W13 Boolean algebra,"Required bridge from logic to simplification, satisfiability, and circuit/state reasoning.",Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.2,5.2 Boolean functions,KEEP,W13 Boolean algebra,"Required bridge from logic to simplification, satisfiability, and circuit/state reasoning.",Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.3,5.3 Disjunctive and conjunctive normal form,KEEP,W13 Boolean algebra,"Required bridge from logic to simplification, satisfiability, and circuit/state reasoning.",Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.4,5.4 Functional completeness,OPTIONAL,W13 Boolean algebra,Useful depth beyond the required Boolean reasoning path.,Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.5,5.5 Boolean satisfiability,KEEP,W13 Boolean algebra,"Required bridge from logic to simplification, satisfiability, and circuit/state reasoning.",Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,5,5. Boolean Algebra,5.6,5.6 Gates and circuits,KEEP,W13 Boolean algebra,"Required bridge from logic to simplification, satisfiability, and circuit/state reasoning.",Logic and truth tables.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.1,6.1 Introduction to binary relations,KEEP,W10 Relations,Required relation properties and representations for critical classification and later graph work.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.2,6.2 Properties of binary relations,KEEP,W10 Relations,Required relation properties and representations for critical classification and later graph work.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.3,"6.3 Directed graphs, paths, and cycles",KEEP,W10 Relations,Required relation properties and representations for critical classification and later graph work.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.4,6.4 Composition of relations,OPTIONAL,W10 Relations,Useful advanced relation/database detail; optional to protect time for modeling and explanation.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.5,6.5 Graph powers and the transitive closure,OPTIONAL,W10 Relations,Useful advanced relation/database detail; optional to protect time for modeling and explanation.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.6,6.6 Matrix multiplication and graph powers,OPTIONAL,W10 Relations,Useful advanced relation/database detail; optional to protect time for modeling and explanation.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.7,6.7 Partial orders,KEEP,W10 Relations,Required relation properties and representations for critical classification and later graph work.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.8,6.8 Strict orders and directed acyclic graphs,OPTIONAL,W10 Relations,Useful advanced relation/database detail; optional to protect time for modeling and explanation.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.9,6.9 Equivalence relations,KEEP,W10 Relations,Required relation properties and representations for critical classification and later graph work.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,6,6. Relations / Digraphs,6.10,6.10 -ary relations and relational databases,OPTIONAL,W10 Relations,Useful advanced relation/database detail; optional to protect time for modeling and explanation.,Sets and functions; digraph vocabulary supports graphs.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.1,7.1 An introduction to algorithms,KEEP,W5 Algorithms and efficiency,"Required computational reasoning: state inputs, trace procedures, and compare growth.",Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.2,7.2 Asymptotic growth of functions,KEEP,W5 Algorithms and efficiency,"Required computational reasoning: state inputs, trace procedures, and compare growth.",Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.3,7.3 Analysis of algorithms,KEEP,W5 Algorithms and efficiency,"Required computational reasoning: state inputs, trace procedures, and compare growth.",Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.4,7.4 Finite state machines,KEEP,W5 Algorithms and efficiency,"Required computational reasoning: state inputs, trace procedures, and compare growth.",Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.5,7.5 Turing machines,OPTIONAL,W5 Algorithms and efficiency,Useful computing-theory context; not required for this course’s applied algorithm/state-machine outcomes.,Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,7,7. Computation,7.6,7.6 Decision problems and languages,OPTIONAL,W5 Algorithms and efficiency,Useful computing-theory context; not required for this course’s applied algorithm/state-machine outcomes.,Prior programming experience from COMSC-1053; trace before analyzing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.1,8.1 Sequences,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.2,8.2 Recurrence relations,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.3,8.3 Summations,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.4,8.4 Mathematical induction,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.5,8.5 More inductive proofs,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.6,8.6 Strong induction and well-ordering,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.7,8.7 Loop invariants,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.8,8.8 Recursive definitions,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.9,8.9 Structural induction,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.10,8.10 Recursive algorithms,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.11,8.11 Induction and recursive algorithms,KEEP,W7 Recursion and induction,"Required sequence, induction, and recursion ideas used to justify and implement discrete processes.",Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.12,8.12 Analyzing the time complexity of recursive algorithms,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.13,8.13 Divide-and-conquer algorithms: Introduction and mergesort,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.14,8.14 Divide-and-conquer algorithms: Binary search,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.15,8.15 Solving linear homogeneous recurrence relations,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.16,8.16 Solving linear nonhomogeneous recurrence relations,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,8,8. Induction and Recursion,8.17,8.17 Divide-and-conquer recurrence relations,OPTIONAL,W7 Recursion and induction,Useful advanced proof/analysis extension; optional after students can trace and justify a recursive process.,Proof habits and algorithm tracing.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.1,9.1 The Division Algorithm,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.2,9.2 Modular arithmetic,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.3,9.3 Prime factorizations,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.4,9.4 Factoring and primality testing,OPTIONAL,W6 Cryptography and integer reasoning,Useful number-theory/cryptography depth; optional because it exceeds the planned reversible-transformation focus.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.5,9.5 Greatest common divisor and Euclid's algorithm,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.6,9.6 Solving linear congruences,OPTIONAL,W6 Cryptography and integer reasoning,Useful number-theory/cryptography depth; optional because it exceeds the planned reversible-transformation focus.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.7,9.7 The Chinese Remainder Theorem,OPTIONAL,W6 Cryptography and integer reasoning,Useful number-theory/cryptography depth; optional because it exceeds the planned reversible-transformation focus.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.8,9.8 Number representation,OPTIONAL,W6 Cryptography and integer reasoning,Useful number-theory/cryptography depth; optional because it exceeds the planned reversible-transformation focus.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.9,9.9 Fast exponentiation,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.10,9.10 Introduction to cryptography,KEEP,W6 Cryptography and integer reasoning,Required number and modular reasoning for the cryptography application.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,9,9. Integer Properties,9.11,9.11 The RSA cryptosystem,OPTIONAL,W6 Cryptography and integer reasoning,Useful number-theory/cryptography depth; optional because it exceeds the planned reversible-transformation focus.,Division and modular arithmetic before cryptography.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.1,10.1 Sum and product rules,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.2,10.2 The bijection rule,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.3,10.3 The generalized product rule,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.4,10.4 Counting permutations,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.5,10.5 Counting subsets,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.6,10.6 Subset and permutation examples,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.7,10.7 Counting by complement,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.8,10.8 Permutations with repetitions,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.9,10.9 Counting multisets,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.10,10.10 Assignment problems: Balls in bins,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.11,10.11 Inclusion-exclusion principle,KEEP,W8 Counting,Required counting tools for choosing and justifying a model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,10,10. Introduction to Counting,10.12,10.12 Counting problem examples,OPTIONAL,W8 Counting,Useful alternate technique or extra practice; optional after students can select and defend a counting model.,Sets and basic algebra.
SWOSUCOMSC2043EvertFall2026,11,11. Advanced Counting,11.1,11.1 Generating permutations and combinations,OPTIONAL,W8 Counting,Useful enrichment; generating functions are beyond the required application path.,Core permutations/combinations.
SWOSUCOMSC2043EvertFall2026,11,11. Advanced Counting,11.2,11.2 Binomial coefficients and combinatorial identities,KEEP,W8 Counting,Required advanced counting ideas with strong transfer value.,Core permutations/combinations.
SWOSUCOMSC2043EvertFall2026,11,11. Advanced Counting,11.3,11.3 The pigeonhole principle,KEEP,W8 Counting,Required advanced counting ideas with strong transfer value.,Core permutations/combinations.
SWOSUCOMSC2043EvertFall2026,11,11. Advanced Counting,11.4,11.4 Generating functions,UNUSED,,Required advanced counting ideas with strong transfer value.,Core permutations/combinations.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.1,12.1 Probability of an event,KEEP,W9 Probability,Required probability reasoning and simulation interpretation.,Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.2,12.2 Unions and complements of events,KEEP,W9 Probability,Required probability reasoning and simulation interpretation.,Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.3,12.3 Conditional probability and independence,KEEP,W9 Probability,Required probability reasoning and simulation interpretation.,Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.4,12.4 Bayes' theorem,OPTIONAL,W9 Probability,"Useful statistical extension; optional after event, conditional, random-variable, and expectation basics.",Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.5,12.5 Random variables,KEEP,W9 Probability,Required probability reasoning and simulation interpretation.,Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.6,12.6 Expectation of a random variable,KEEP,W9 Probability,Required probability reasoning and simulation interpretation.,Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.7,12.7 Linearity of expectations,OPTIONAL,W9 Probability,"Useful statistical extension; optional after event, conditional, random-variable, and expectation basics.",Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,12,12. Discrete Probability,12.8,12.8 Bernoulli trials and the binomial distribution,OPTIONAL,W9 Probability,"Useful statistical extension; optional after event, conditional, random-variable, and expectation basics.",Counting and sample-space modeling.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.1,13.1 Introduction to graphs,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.2,13.2 Graph representations,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.3,13.3 Graph isomorphism,OPTIONAL,W11 Graphs,Useful specialized graph detail; optional after students can build and analyze a graph model.,Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.4,"13.4 Walks, trails, circuits, paths, and cycles",KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.5,13.5 Graph connectivity,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.6,13.6 Euler circuits and trails,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.7,13.7 Hamiltonian cycles and paths,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.8,13.8 Planar graphs,OPTIONAL,W11 Graphs,Useful specialized graph detail; optional after students can build and analyze a graph model.,Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,13,13. Graphs,13.9,13.9 Graph coloring,KEEP,W11 Graphs,"Required graph vocabulary, representation, traversal questions, and optimization/modeling applications.",Relations/digraph representations; basic counting helps.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.1,14.1 Introduction to trees,KEEP,W12 Trees,"Required tree structure, traversal, and graph connection.",Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.2,14.2 Tree application examples,KEEP,W12 Trees,"Required tree structure, traversal, and graph connection.",Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.3,14.3 Properties of trees,KEEP,W12 Trees,"Required tree structure, traversal, and graph connection.",Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.4,14.4 Tree traversals,KEEP,W12 Trees,"Required tree structure, traversal, and graph connection.",Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.5,14.5 Spanning trees and graph traversals,KEEP,W12 Trees,"Required tree structure, traversal, and graph connection.",Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,14,14. Trees,14.6,14.6 Minimum spanning trees,OPTIONAL,W12 Trees,Useful optimization extension; optional after core tree models and traversals.,Graph vocabulary and recursive reasoning.
SWOSUCOMSC2043EvertFall2026,15,15. Appendix,15.1,15.1 Notation,UNUSED,,Reference notation is available through instructor material and context; not a standalone outcome.,Use only as needed.
SWOSUCOMSC2043EvertFall2026,15,15. Appendix,15.2,15.2 Set notation and quantified logical statements,OPTIONAL,"W3 Logic, proof, and sequences",Quick reference for students needing notation reinforcement.,Use only as needed.
